,Market,Time,Open,High,Low,Close,Volume,Value,No. Trades,Taker Buy Volume,Taker Buy Value
2621,BTCUSDT,2018-01-02 19:41:00,15075.6,15099.97,15000.0,15054.95,37.819697,570100.93567776,310,14.772512,222853.90405537
2622,BTCUSDT,2018-01-02 19:42:00,15054.95,15067.66,14711.0,14711.0,41.312457,616419.86694342,423,11.469104,171483.23722571
2623,BTCUSDT,2018-01-02 19:43:00,14711.01,14960.88,14711.0,14853.02,30.576336,455115.83017098,328,14.57377,217163.93010959
2624,BTCUSDT,2018-01-02 19:44:00,14853.0,14919.78,14827.94,14900.0,20.442145,304085.95344504,235,10.027493,149221.37810161
2625,BTCUSDT,2018-01-02 19:45:00,14900.0,14919.77,14808.79,14835.15,15.313598,227783.51518981,199,7.588884,112915.73660421
2626,BTCUSDT,2018-01-02 19:46:00,14835.15,14850.0,14760.39,14760.41,23.271313,344628.04473835,335,8.556807,126862.81682596
2627,BTCUSDT,2018-01-02 19:47:00,14760.43,14800.98,14750.0,14800.0,18.491491,273399.96314833,350,10.825892,160175.30529811
2628,BTCUSDT,2018-01-02 19:48:00,14784.95,14868.74,14762.9,14868.74,12.120472,179679.329505,252,6.436627,95463.92399045
2629,BTCUSDT,2018-01-02 19:49:00,14850.93,14900.0,14835.15,14900.0,13.58236,201963.74618225,194,7.914051,117723.40357982
2630,BTCUSDT,2018-01-02 19:50:00,14889.0,14889.01,14833.8,14833.82,12.381044,183976.37662879,184,4.399906,65376.89768118
2631,BTCUSDT,2018-01-02 19:51:00,14833.82,14833.82,14768.75,14797.98,21.409129,316848.18275932,207,9.87851,146249.89603903
2632,BTCUSDT,2018-01-02 19:52:00,14768.89,14798.0,14750.91,14750.95,22.445782,331543.82930422,191,9.525993,140775.31891124
2633,BTCUSDT,2018-01-02 19:53:00,14750.95,14767.97,14664.0,14675.58,47.760075,702570.80915823,283,22.505538,331168.55669341
2634,BTCUSDT,2018-01-02 19:54:00,14675.56,14675.79,14649.5,14660.55,23.909959,350507.74544203,263,15.483236,226982.31729483
2635,BTCUSDT,2018-01-02 19:55:00,14660.53,14675.79,14650.0,14675.79,25.539317,374497.67020547,244,16.882246,247605.65078652
2636,BTCUSDT,2018-01-02 19:56:00,14670.0,14775.83,14660.55,14750.03,24.993228,367468.9042344,332,20.908696,307413.25693463
